Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:28,2018-04-16 16:07:29,1.000s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:07:29,2018-04-16 16:07:30,0.397s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:30,2018-04-16 16:07:32,2.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:07:32,2018-04-16 16:07:32,0.087s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:32,2018-04-16 16:07:33,1.002s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:07:33,2018-04-16 16:07:33,0.066s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:33,2018-04-16 16:07:34,1.001s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:07:34,2018-04-16 16:07:34,0.448s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:34,2018-04-16 16:07:36,2.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:07:36,2018-04-16 16:07:36,0.086s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:36,2018-04-16 16:07:37,1.003s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:07:37,2018-04-16 16:07:37,0.067s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:37,2018-04-16 16:07:38,1.001s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:07:38,2018-04-16 16:07:39,0.375s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:39,2018-04-16 16:07:41,2.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:07:41,2018-04-16 16:07:41,0.086s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:41,2018-04-16 16:07:42,1.000s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:07:42,2018-04-16 16:07:42,0.069s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:42,2018-04-16 16:07:43,1.000s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:07:43,2018-04-16 16:07:43,0.342s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:43,2018-04-16 16:07:45,2.000s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:07:45,2018-04-16 16:07:45,0.084s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:45,2018-04-16 16:07:46,1.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:07:46,2018-04-16 16:07:46,0.069s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:46,2018-04-16 16:07:47,1.002s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:07:47,2018-04-16 16:07:48,0.361s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:48,2018-04-16 16:07:50,2.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:07:50,2018-04-16 16:07:50,0.069s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:50,2018-04-16 16:07:51,1.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:07:51,2018-04-16 16:07:51,0.069s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:51,2018-04-16 16:07:52,1.001s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:07:52,2018-04-16 16:07:52,0.384s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:52,2018-04-16 16:07:54,2.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:07:54,2018-04-16 16:07:54,0.084s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:54,2018-04-16 16:07:55,1.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:07:55,2018-04-16 16:07:55,0.069s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:55,2018-04-16 16:07:56,1.002s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:07:56,2018-04-16 16:07:57,0.381s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:57,2018-04-16 16:07:59,2.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:07:59,2018-04-16 16:07:59,0.085s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:59,2018-04-16 16:08:00,1.002s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:08:00,2018-04-16 16:08:00,0.070s,PASSED
